" Product Code"," Product Description","HS 1988/92 Product Code","HS 1988/92 Product Description"
"590691","Textile fabrics, rubberised; (excluding those of heading no. 5902 and adhesive tape of a width not exceeding 20cm), knitted or crocheted","590691","Knitted or crocheted rubberized textile fabrics"
"590699","Textile fabrics, rubberised; (excluding those of heading no. 5902 and adhesive tape of a width not exceeding 20cm), not knitted or crocheted","590699","Rubberized textile fabrics, nes"
"590700","Textile fabrics; otherwise impregnated, coated or covered, painted canvas being theatrical scenery, studio back-cloths or the like","590700","Textile fabrics otherwise impregnated... ; pain"
"590800","Textile wicks, woven, plaited or knitted; for lamps, stoves, lighters, candles or the like; incandescent gas mantles and tubular knitted gas mantle fabric therefor, whether or not impregnated","590800","Textile wicks for lamps...; incandescent gas ma"
"590900","Textile hosepiping and similar textile tubing; with or without lining, armour or accessories of other materials","590900","Textile... tubing, with or without lining, etc,"
"591000","Textiles; transmission or conveyor belts or belting, of textile material, whether or not impregnated, coated, covered or laminated with plastics, or reinforced with metal or other material","591000","Transmission or conveyor belts or belting, of t"
"591110","Textile fabric, felt & felt-lined woven fabrics, coated/covered/laminated with rubber, leather or other material, for card clothing, similar fabrics used for technical purposes, including rubber impregnated narrow velvet fabrics to cover weaving spindles","591110","Textile fabrics...,coated,covered...with rubber"
"591120","Textile products and articles for technical uses; bolting cloth, whether or not made up","591120","Bolting cloth"
"591131","Textiles; fabrics and felts, endless or fitted with linking devices, of a kind used in paper-making or similar machines, weighing less than 650g/m2","591131","Textile fabrics and felts, for paper-making mac"
"591132","Textiles; fabrics and felts, endless or fitted with linking devices, of a kind used in paper-making or similar machines, weighing 650g/m2 or more","591132","Textile fabrics and felts, for paper-making mac"
"591140","Textile products and articles for technical uses; straining cloth of a kind used in oil presses and the like, including that of human hair","591140","Straining cloth of a kind used in oil presses,"
"591190","Textile products and articles for technical uses; n.e.c. in heading no. 5911","591190","Textile articles for technical uses, nes, speci"
"600110","Fabrics; long pile fabrics, knitted or crocheted","600110","Long pile fabrics, knitted or crocheted"
"600121","Fabrics; looped pile fabrics, of cotton, knitted or crocheted","600121","Looped pile fabrics of cotton, knitted or croch"
"600122","Fabrics; looped pile fabrics, of man-made fibres, knitted or crocheted","600122","Looped pile fabrics of man-made fibres, knitted"
"600129","Fabrics; looped pile fabrics, of textile materials (other than cotton or man-made fibres), knitted or crocheted","600129","Looped pile fabrics of textile materials, knitt"
"600191","Fabrics; pile fabrics (excluding long pile and loop pile), of cotton, knitted or crocheted","600191","Pile fabrics of cotton, nes, knitted or crochet"
"600192","Fabrics; pile fabrics (excluding long pile and loop pile), of man-made fibres, knitted or crocheted","600192","Pile fabrics of man-made fibres, nes, knitted o"
"600199","Fabrics; pile fabrics (excluding long pile and loop pile), of textile materials (other than cotton or man-made fibres), knitted or crocheted","600199","Pile fabrics of textile materials, nes, knitted"
"600240","Fabrics; knitted or crocheted, other than those of heading 60.01, of a width not exceeding 30 cm, containing by weight 5% or more of elastomeric yarn but not containing rubber thread","600210","Knitted or crocheted fabrics, =<30cm wide, >=5%"
"600290","Fabrics; knitted or crocheted, other than those of heading 60.01, of a width not exceeding 30 cm, containing by weight 5% or more of elastomeric yarn or rubber thread","600210","Knitted or crocheted fabrics, =<30cm wide, >=5%"
"600310","Fabrics; knitted or crocheted fabrics, other than those of heading 60.01 and 60.02, of a width not exceeding 30 cm, of wool or fine animal hair","600220","Knitted or crocheted fabrics, =<30cm wide, non-"
