" Product Code"," Product Description","HS 1988/92 Product Code","HS 1988/92 Product Description"
"930320","930320 --  - Other sporting, hunting or target-shooting shotguns, including combination shotgun-rifles","930320","Shotguns incl combination shotgun-rifles sporti"
"930330","930330 --  - Other sporting, hunting or target-shooting rifles","930330","Rifles, sporting, hunting or target-shooting, n"
"930390","930390 --  - Other","930390","Firearms&similar devices operated by the firing"
"930400","930400 --  Other arms (for example, spring, air or gas guns and pistols, truncheons), excluding those of heading 9307","930400","Arms nes, excluding those of heading No 93.07"
"930510","930510 --  - Of revolvers or pistols","930510","Parts and accessories of revolvers or pistols o"
"930520","930520 -- (2012-) - Of shotguns or rifles of heading 9303","930529","Parts and accessories of shotguns or rifles, ne"
"930521","930521 -- (-2011) -- Shotgun barrels","930521","Shotgun barrels of heading No 93.03"
"930529","930529 -- (-2011) -- Other","930529","Parts and accessories of shotguns or rifles, ne"
"930590","930590 -- (-2001) - Other","930590","Parts and accessories nes of heading Nos 93.01"
"930591","930591 -- (2002-) -- Of military weapons of heading 9301","930590","Parts and accessories nes of heading Nos 93.01"
"930599","930599 -- (2002-) -- Other","930590","Parts and accessories nes of heading Nos 93.01"
"930610","930610 -- (-2006) - Cartridges for riveting or similar tools or for captive- Bolt humane killers and parts thereof","930610","Cartridges for riveting or sim tools or for cap"
"930621","930621 --  -- Cartridges","930621","Cartridges, shotgun"
"930629","930629 --  -- Other","930629","Air gun pellets and parts of shotgun cartridges"
"930630","930630 --  - Other cartridges and parts thereof","930630","Cartridges nes and parts thereof"
"930690","930690 --  - Other","930690","Munitions of war&pts thereof and oth ammunition"
"930700","930700 --  Swords, cutlasses, bayonets, lances and similar arms and parts thereof and scabbards and sheaths therefor","930700","Swords,cutlasses,bayonets,lances&sim arms&parts"
"940110","940110 --  - Seats of a kind used for aircraft","940110","Seats, aircraft"
"940120","940120 --  - Seats of a kind used for motor vehicles","940120","Seats, motor vehicles"
"940130","940130 --  - Swivel seats with variable height adjustment","940130","Swivel seats and variable height adjustment oth"
